ID;time;volume;type;MIT_conc_nom;CMIT_conc_nom;CMITMIT_conc_nom;MIT_conc_theo;CMIT_conc_theo;SI_conc_theo;replicate;MIT;CMIT;SI
TA_M_2-25_0_R9;0;NA;acute;2.25;0;0;NA;0;1.5;9;8615.186;0,00;7354.721
TA_M_2-25_24_R9;1;NA;acute;2.25;0;0;NA;0;1.5;9;8495.825;0,00;7555.814
TA_M_2-0_0_R9;0;NA;acute;2.0;0;0;NA;0;1.5;9;7516.007;0,00;7423.486
TA_M_2-0_24_R9;1;NA;acute;2.0;0;0;NA;0;1.5;9;7610.65;0,00;7647.429
TA_M_1-75_0_R9;0;NA;acute;1.75;0;0;NA;0;1.5;9;7011.07;0,00;7834.825
TA_M_1-75_24_R9;1;NA;acute;1.75;0;0;NA;0;1.5;9;6942.911;0,00;8247.127
TA_M_1-5_0_R9;0;NA;acute;1.5;0;0;NA;0;1.5;9;6142.426;0,00;7984.956
TA_M_1-5_24_R9;1;NA;acute;1.5;0;0;NA;0;1.5;9;6157.192;0,00;8260.105
TA_M_1-25_0_R9;0;NA;acute;1.25;0;0;NA;0;1.5;9;5344.187;0,00;8334.084
TA_M_1-25_24_R9;1;NA;acute;1.25;0;0;NA;0;1.5;9;5399.296;0,00;8732.322
TA_M_1-0_0_R9;0;NA;acute;1.0;0;0;NA;0;1.5;9;4502.46;0,00;8867.992
TA_M_1-0_24_R9;1;NA;acute;1.0;0;0;NA;0;1.5;9;4406.228;0,00;9203.275
TA_M_0-75_0_R9;0;NA;acute;0.75;0;0;NA;0;1.5;9;3456.548;0,00;8960.124
TA_M_0-75_24_R9;1;NA;acute;0.75;0;0;NA;0;1.5;9;3534.842;0,00;9245.747
TA_M_0-5_0_R9;0;NA;acute;0.5;0;0;NA;0;1.5;9;2507.687;0,00;9863.638
TA_M_0-5_24_R9;1;NA;acute;0.5;0;0;NA;0;1.5;9;2487.076;0,00;9492.701
TA_M_0-25_0_R9;0;NA;acute;0.25;0;0;NA;0;1.5;9;1371.863;0,00;10387.198
TA_M_0-25_24_R9;1;NA;acute;0.25;0;0;NA;0;1.5;9;1311.835;0,00;10239.668
TC_50_J0_R9;0;NA;chronic;50;0;0;NA;0;50;9;516.811;0,00;1437.189
TC_50_1L_J3_R9;3;1000;chronic;50;0;0;NA;0;50;9;559.134;0,00;1232.673
TC_50_1L_J7_R9;7;1000;chronic;50;0;0;NA;0;50;9;294.885;0,00;1124.919
TC_50_85_J3_R9;3;85;chronic;50;0;0;NA;0;50;9;541.647;0,00;1070.605
TC_50_85_J7_R9;7;85;chronic;50;0;0;NA;0;50;9;206.058;0,00;950.724
TC_08_J0_R9;0;NA;chronic;0.8;0;0;NA;0;0.8;9;194.353;0,00;367.546
TC_08_1L_J3_R9;3;1000;chronic;0.8;0;0;NA;0;0.8;9;20.329;0,00;40.715
TC_08_1L_J7_R9;7;1000;chronic;0.8;0;0;NA;0;0.8;9;5.393;0,00;41.819
TC_08_85_J3_R9;3;85;chronic;0.8;0;0;NA;0;0.8;9;16.524;0,00;45.544
TC_08_85_J7_R9;7;85;chronic;0.8;0;0;NA;0;0.8;9;4.051;0,00;39.344
BLANC_R10;NA;NA;control;0;0;0;0;0;0;10;0,00;0,00;0,00
G_CM_0-8_R10;NA;NA;range;0.2;0.6;0.8;0.2;0.6;0.2;10;1421.049;5662.107;1478.16
G_CM_0-6_R10;NA;NA;range;0.15;0.45;0.6;0.15;0.45;0.2;10;1019.776;4319.613;1595.86
G_CM_0-2_R10;NA;NA;range;0.05;0.15;0.2;0.05;0.15;0.2;10;379.872;1637.107;1699.047
G_CM_0-04_R10;NA;NA;range;0.01;0.03;0.04;0.01;0.03;0.2;10;101.906;347.398;1770.377
G_CM_0-02_R10;NA;NA;range;0.005;0.015;0.02;0.005;0.015;0.2;10;35.289;185.148;1675.292
G_M_6-5m_R10;NA;NA;range;6.5;0;0;6.5;0;1.5;10;15473.163;0,00;4832.817
G_M_5-5m_R10;NA;NA;range;5.5;0;0;5.5;0;1.5;10;13570.299;0,00;5081.386
G_M_1-5m_R10;NA;NA;range;1.5;0;0;1.5;0;1.5;10;5076.098;0,00;6889.877
G_M_0-2m_R10;NA;NA;range;0.2;0;0;0.2;0;1.5;10;875.967;0,00;8238.724
G_M_0-1m_R10;NA;NA;range;0.1;0;0;0.1;0;1.5;10;425.439;0,00;8470.482
G_M_90u_R10;NA;NA;range;90;0;0;90;0;50;10;562.217;0,00;394.916
G_M_75u_R10;NA;NA;range;75;0;0;75;0;50;10;528.168;0,00;428.625
G_M_50u_R10;NA;NA;range;50;0;0;50;0;50;10;316.758;0,00;447.214
G_M_25u_R10;NA;NA;range;25;0;0;25;0;50;10;253.654;0,00;532.417
G_M_10u_R10;NA;NA;range;10;0;0;10;0;50;10;114.552;0,00;497.428
G_M_1-6u_R10;NA;NA;range;1.6;0;0;1.6;0;0.8;10;16.259;0,00;17.17
G_M_1-2u_R10;NA;NA;range;1.2;0;0;1.2;0;0.8;10;9.35;0,00;13.198
G_M_0-8u_R10;NA;NA;range;0.8;0;0;0.8;0;0.8;10;6.6;0,00;7.191
G_M_0-4u_R10;NA;NA;range;0.4;0;0;0.4;0;0.8;10;8.906;0,00;15.302
G_M_0-1u_R10;NA;NA;range;0.1;0;0;0.1;0;0.8;10;0.946;0,00;10.097
TA_CM_0-6_0_R10;0;NA;acute;0.15;0.45;0.6;NA;NA;0.2;10;1841.222;5830.223;2251.336
TA_CM_0-6_24_R10;1;NA;acute;0.15;0.45;0.6;NA;NA;0.2;10;1770.365;5845.219;2276.162
TA_CM_0-5_0_R10;0;NA;acute;0.125;0.375;0.5;NA;NA;0.2;10;1621.331;5128.676;2214.237
TA_CM_0-5_24_R10;1;NA;acute;0.125;0.375;0.5;NA;NA;0.2;10;1606.35;5090.703;2320.007
TA_CM_0-42_0_R10;0;NA;acute;0.105;0.315;0.42;NA;NA;0.2;10;1406.414;4526.96;2303.739
TA_CM_0-42_24_R10;1;NA;acute;0.105;0.315;0.42;NA;NA;0.2;10;1350.274;4359.694;2270.518
TA_CM_0-36_0_R10;0;NA;acute;0.09;0.27;0.36;NA;NA;0.2;10;1146.762;3936.134;2398.527
TA_CM_0-36_24_R10;1;NA;acute;0.09;0.27;0.36;NA;NA;0.2;10;1176.9;3871.026;2404.473
TA_CM_0-30_0_R10;0;NA;acute;0.075;0.225;0.30;NA;NA;0.2;10;1009.081;3347.61;2463.053
TA_CM_0-30_24_R10;1;NA;acute;0.075;0.225;0.30;NA;NA;0.2;10;1002.834;3332.202;2503.437
TA_CM_0-24_0_R10;0;NA;acute;0.06;0.18;0.24;NA;NA;0.2;10;838.94;2689.385;2484.555
TA_CM_0-24_24_R10;1;NA;acute;0.06;0.18;0.24;NA;NA;0.2;10;827.692;2766.061;2535.34
TA_CM_0-18_0_R10;0;NA;acute;0.045;0.135;0.18;NA;NA;0.2;10;633.119;2139.973;2556.211
