X;Clone;molecule;conc;time;Nsurv;replicate;day;Ninit;Nmort
1655;LA0;M;0;1;20;206;02-sept;20;0
1656;LA0;M;0;2;20;206;02-sept;20;0
1657;LA0;M;0.258;0;10;149;02-sept;10;0
1658;LA0;M;0.258;1;10;149;02-sept;10;0
1659;LA0;M;0.258;2;10;149;02-sept;10;0
1660;LA0;M;0.507;0;10;120;02-sept;10;0
1661;LA0;M;0.507;1;9;120;02-sept;10;1
1662;LA0;M;0.507;2;9;120;02-sept;10;1
1663;LA0;M;0.993;0;10;23;02-sept;10;0
1664;LA0;M;0.993;1;4;23;02-sept;10;6
1665;LA0;M;0.993;2;0;23;02-sept;10;10
1666;LA0;M;1.255;0;10;514;02-sept;10;0
1667;LA0;M;1.255;1;0;514;02-sept;10;10
1668;LA0;M;1.255;2;0;514;02-sept;10;10
1669;LA0;M;1.52;0;10;722;02-sept;10;0
1670;LA0;M;1.52;1;0;722;02-sept;10;10
1671;LA0;M;1.52;2;0;722;02-sept;10;10
1672;LA0;M;1.762;0;10;786;02-sept;10;0
1673;LA0;M;1.762;1;0;786;02-sept;10;10
1674;LA0;M;1.762;2;0;786;02-sept;10;10
1675;LA0;M;2.038;0;10;743;02-sept;10;0
1676;LA0;M;2.038;1;0;743;02-sept;10;10
1677;LA0;M;2.038;2;0;743;02-sept;10;10
1678;LA0;M;3.016;0;10;152;02-sept;10;0
1679;LA0;M;3.016;1;0;152;02-sept;10;10
1680;LA0;M;3.016;2;0;152;02-sept;10;10
1681;LA0;M;0;0;10;847;08-sept;10;0
1682;LA0;M;0;1;10;847;08-sept;10;0
1683;LA0;M;0;2;10;847;08-sept;10;0
1684;LA0;M;0.507;0;10;204;08-sept;10;0
1685;LA0;M;0.507;1;10;204;08-sept;10;0
1686;LA0;M;0.507;2;10;204;08-sept;10;0
1687;LA0;M;0.993;0;10;110;08-sept;10;0
1688;LA0;M;0.993;1;9;110;08-sept;10;1
1689;LA0;M;0.993;2;3;110;08-sept;10;7
1690;LA0;M;1.255;0;10;236;08-sept;10;0
1691;LA0;M;1.255;1;7;236;08-sept;10;3
1692;LA0;M;1.255;2;0;236;08-sept;10;10
1693;LA0;M;1.52;0;10;340;08-sept;10;0
1694;LA0;M;1.52;1;0;340;08-sept;10;10
1695;LA0;M;1.52;2;0;340;08-sept;10;10
1696;LA0;M;1.762;0;10;702;08-sept;10;0
1697;LA0;M;1.762;1;0;702;08-sept;10;10
1698;LA0;M;1.762;2;0;702;08-sept;10;10
1699;LA0;M;4.996;0;10;143;08-sept;10;0
1700;LA0;M;4.996;1;0;143;08-sept;10;10
1701;LA0;M;4.996;2;0;143;08-sept;10;10
1702;LA0;M;0;0;10;30;10-sept;10;0
1703;LA0;M;0;1;10;30;10-sept;10;0
1704;LA0;M;0;2;10;30;10-sept;10;0
1705;LA0;M;2.038;0;10;24;10-sept;10;0
1706;LA0;M;2.038;1;0;24;10-sept;10;10
1707;LA0;M;2.038;2;0;24;10-sept;10;10
1708;LA0;M;3.016;0;10;271;10-sept;10;0
1709;LA0;M;3.016;1;0;271;10-sept;10;10
1710;LA0;M;3.016;2;0;271;10-sept;10;10
1711;PE7;M;0;0;20;659;03-mars;20;0
1712;PE7;M;0;1;20;659;03-mars;20;0
1713;PE7;M;0;2;20;659;03-mars;20;0
1714;PE7;M;0.993;0;10;221;03-mars;10;0
1715;PE7;M;0.993;1;6;221;03-mars;10;4
1716;PE7;M;0.993;2;3;221;03-mars;10;7
1717;PE7;M;1.255;0;10;71;03-mars;10;0
1718;PE7;M;1.255;1;6;71;03-mars;10;4
1719;PE7;M;1.255;2;0;71;03-mars;10;10
1720;PE7;M;1.52;0;10;749;03-mars;10;0
1721;PE7;M;1.52;1;2;749;03-mars;10;8
1722;PE7;M;1.52;2;0;749;03-mars;10;10
1723;PE7;M;1.762;0;10;633;03-mars;10;0
1724;PE7;M;1.762;1;0;633;03-mars;10;10
1725;PE7;M;1.762;2;0;633;03-mars;10;10
1726;PE7;M;2.038;0;10;698;03-mars;10;0
1727;PE7;M;2.038;1;0;698;03-mars;10;10
1728;PE7;M;2.038;2;0;698;03-mars;10;10
1729;PE7;M;3.016;0;10;2;03-mars;10;0
1730;PE7;M;3.016;1;0;2;03-mars;10;10
1731;PE7;M;3.016;2;0;2;03-mars;10;10
1732;PE7;M;0;0;20;131;04-mars;20;0
1733;PE7;M;0;1;20;131;04-mars;20;0
1734;PE7;M;0;2;19;131;04-mars;20;1
1735;PE7;M;0.993;0;10;105;04-mars;10;0
1736;PE7;M;0.993;1;8;105;04-mars;10;2
1737;PE7;M;0.993;2;6;105;04-mars;10;4
1738;PE7;M;1.255;0;10;280;04-mars;10;0
1739;PE7;M;1.255;1;4;280;04-mars;10;6
1740;PE7;M;1.255;2;2;280;04-mars;10;8
1741;PE7;M;1.52;0;10;254;04-mars;10;0
1742;PE7;M;1.52;1;5;254;04-mars;10;5
1743;PE7;M;1.52;2;4;254;04-mars;10;6
1744;PE7;M;1.762;0;10;494;04-mars;10;0
1745;PE7;M;1.762;1;6;494;04-mars;10;4
1746;PE7;M;1.762;2;1;494;04-mars;10;9
1747;PE7;M;2.038;0;10;84;04-mars;10;0
1748;PE7;M;2.038;1;2;84;04-mars;10;8
1749;PE7;M;2.038;2;0;84;04-mars;10;10
1750;PE7;M;3.016;0;10;565;04-mars;10;0
1751;PE7;M;3.016;1;1;565;04-mars;10;9
1752;PE7;M;3.016;2;0;565;04-mars;10;10
1753;PE7;M;0;0;10;210;10-juin;10;0
1754;PE7;M;0;1;10;210;10-juin;10;0
1755;PE7;M;0;2;10;210;10-juin;10;0
1756;PE7;M;0.993;0;10;747;10-juin;10;0
1757;PE7;M;0.993;1;10;747;10-juin;10;0
1758;PE7;M;0.993;2;7;747;10-juin;10;3
1759;PE7;M;1.255;0;10;281;10-juin;10;0
1760;PE7;M;1.255;1;9;281;10-juin;10;1
1761;PE7;M;1.255;2;6;281;10-juin;10;4
1762;PE7;M;1.52;0;10;500;10-juin;10;0
1763;PE7;M;1.52;1;8;500;10-juin;10;2
1764;PE7;M;1.52;2;2;500;10-juin;10;8
1765;PE7;M;1.762;0;10;641;10-juin;10;0
1766;PE7;M;1.762;1;6;641;10-juin;10;4
1767;PE7;M;1.762;2;0;641;10-juin;10;10
1768;PE7;M;2.038;0;10;18;10-juin;10;0
1769;PE7;M;2.038;1;4;18;10-juin;10;6
1770;PE7;M;2.038;2;0;18;10-juin;10;10
1771;PE7;M;3.016;0;10;617;10-juin;10;0
1772;PE7;M;3.016;1;0;617;10-juin;10;10
1773;PE7;M;3.016;2;0;617;10-juin;10;10
1774;PE7;M;0;0;20;635;15-juin;20;0
1775;PE7;M;0;1;20;635;15-juin;20;0
1776;PE7;M;0;2;20;635;15-juin;20;0
1777;PE7;M;0.993;0;10;400;15-juin;10;0
1778;PE7;M;0.993;1;7;400;15-juin;10;3
1779;PE7;M;0.993;2;6;400;15-juin;10;4
1780;PE7;M;1.255;0;10;227;15-juin;10;0
1781;PE7;M;1.255;1;8;227;15-juin;10;2
1782;PE7;M;1.255;2;7;227;15-juin;10;3
1783;PE7;M;1.52;0;10;134;15-juin;10;0
1784;PE7;M;1.52;1;7;134;15-juin;10;3
1785;PE7;M;1.52;2;1;134;15-juin;10;9
1786;PE7;M;1.762;0;10;360;15-juin;10;0
1787;PE7;M;1.762;1;7;360;15-juin;10;3
1788;PE7;M;1.762;2;3;360;15-juin;10;7
1789;PE7;M;2.038;0;10;171;15-juin;10;0
1790;PE7;M;2.038;1;5;171;15-juin;10;5
1791;PE7;M;2.038;2;0;171;15-juin;10;10
1792;PE7;M;3.016;0;10;646;15-juin;10;0
1793;PE7;M;3.016;1;0;646;15-juin;10;10
1794;PE7;M;3.016;2;0;646;15-juin;10;10
1795;PE7;M;0;0;10;555;23-juil;10;0
1796;PE7;M;0;1;10;555;23-juil;10;0
1797;PE7;M;0;2;10;555;23-juil;10;0
1798;PE7;M;0.507;0;10;197;23-juil;10;0
1799;PE7;M;0.507;1;9;197;23-juil;10;1
1800;PE7;M;0.507;2;8;197;23-juil;10;2
1801;PE7;M;0.507;0;10;525;23-juil;10;0
1802;PE7;M;0.507;1;10;525;23-juil;10;0
1803;PE7;M;0.507;2;8;525;23-juil;10;2
1804;PE7;M;0.507;0;10;559;23-juil;10;0
1805;PE7;M;0.507;1;10;559;23-juil;10;0
1806;PE7;M;0.507;2;10;559;23-juil;10;0
1807;PE7;M;0.507;0;10;365;23-juil;10;0
1808;PE7;M;0.507;1;10;365;23-juil;10;0
1809;PE7;M;0.507;2;8;365;23-juil;10;2
1810;PE7;M;0;0;10;376;28-juil;10;0
1811;PE7;M;0;1;10;376;28-juil;10;0
1812;PE7;M;0;2;10;376;28-juil;10;0
1813;PE7;M;0.507;0;10;72;28-juil;10;0
1814;PE7;M;0.507;1;10;72;28-juil;10;0
1815;PE7;M;0.507;2;7;72;28-juil;10;3
1816;PE7;M;0.993;0;10;606;28-juil;10;0
1817;PE7;M;0.993;1;6;606;28-juil;10;4
1818;PE7;M;0.993;2;2;606;28-juil;10;8
1819;PE7;M;1.255;0;10;250;28-juil;10;0
1820;PE7;M;1.255;1;1;250;28-juil;10;9
1821;PE7;M;1.255;2;0;250;28-juil;10;10
1822;PE7;M;1.52;0;10;154;28-juil;10;0
1823;PE7;M;1.52;1;0;154;28-juil;10;10
1824;PE7;M;1.52;2;0;154;28-juil;10;10
1825;PE7;M;2.038;0;10;56;28-juil;10;0
1826;PE7;M;2.038;1;0;56;28-juil;10;10
1827;PE7;M;2.038;2;0;56;28-juil;10;10
1828;PE7;M;4.996;0;10;638;28-juil;10;0
1829;PE7;M;4.996;1;0;638;28-juil;10;10
1830;PE7;M;4.996;2;0;638;28-juil;10;10
1831;PE7;M;0;0;10;676;04-août;10;0
1832;PE7;M;0;1;10;676;04-août;10;0
1833;PE7;M;0;2;10;676;04-août;10;0
1834;PE7;M;1.762;0;10;446;04-août;10;0
1835;PE7;M;1.762;1;0;446;04-août;10;10
1836;PE7;M;1.762;2;0;446;04-août;10;10
1837;PE7;M;3.016;0;10;248;04-août;10;0
1838;PE7;M;3.016;1;0;248;04-août;10;10
1839;PE7;M;3.016;2;0;248;04-août;10;10
1840;PE7;M;4.996;0;10;48;04-août;10;0
1841;PE7;M;4.996;1;0;48;04-août;10;10
1842;PE7;M;4.996;2;0;48;04-août;10;10
1843;PE7;M;4.996;0;10;788;04-août;10;0
1844;PE7;M;4.996;1;0;788;04-août;10;10
1845;PE7;M;4.996;2;0;788;04-août;10;10
1846;PE7;M;0;0;20;553;05-août;20;0
1847;PE7;M;0;1;20;553;05-août;20;0
1848;PE7;M;0;2;20;553;05-août;20;0
1849;PE7;M;4.996;0;10;661;05-août;10;0
1850;PE7;M;4.996;1;0;661;05-août;10;10
1851;PE7;M;4.996;2;0;661;05-août;10;10
1852;PE7;M;4.996;0;10;679;05-août;10;0
1853;PE7;M;4.996;1;0;679;05-août;10;10
1854;PE7;M;4.996;2;0;679;05-août;10;10
1855;PE7;M;0;0;10;518;11-août;10;0
1856;PE7;M;0;1;9;518;11-août;10;1
1857;PE7;M;0;2;9;518;11-août;10;1
1858;PE7;M;0.258;0;10;89;11-août;10;0
1859;PE7;M;0.258;1;10;89;11-août;10;0
1860;PE7;M;0.258;2;9;89;11-août;10;1
1861;PE7;M;0.507;0;10;765;11-août;10;0
1862;PE7;M;0.507;1;10;765;11-août;10;0
1863;PE7;M;0.507;2;10;765;11-août;10;0
1864;PE7;M;0;0;10;858;19-août;10;0
1865;PE7;M;0;1;10;858;19-août;10;0
1866;PE7;M;0;2;9;858;19-août;10;1
1867;PE7;M;0.258;0;10;576;19-août;10;0
1868;PE7;M;0.258;1;10;576;19-août;10;0
1869;PE7;M;0.258;2;10;576;19-août;10;0
1870;PE7;M;0.258;0;10;432;19-août;10;0
1871;PE7;M;0.258;1;10;432;19-août;10;0
1872;PE7;M;0.258;2;10;432;19-août;10;0
1873;PE7;M;0.258;0;10;733;19-août;10;0
1874;PE7;M;0.258;1;9;733;19-août;10;1
1875;PE7;M;0.258;2;9;733;19-août;10;1
1876;PE7;M;0.258;0;10;489;19-août;10;0
1877;PE7;M;0.258;1;10;489;19-août;10;0
1878;PE7;M;0.258;2;10;489;19-août;10;0
1879;P16;M;0;0;10;813;01-juil;10;0
1880;P16;M;0;1;10;813;01-juil;10;0
1881;P16;M;0;2;10;813;01-juil;10;0
1882;P16;M;0.993;0;10;448;01-juil;10;0
1883;P16;M;0.993;1;8;448;01-juil;10;2
1884;P16;M;0.993;2;8;448;01-juil;10;2
1885;P16;M;1.255;0;10;760;01-juil;10;0
1886;P16;M;1.255;1;7;760;01-juil;10;3
1887;P16;M;1.255;2;3;760;01-juil;10;7
1888;P16;M;1.52;0;10;402;01-juil;10;0
1889;P16;M;1.52;1;2;402;01-juil;10;8
1890;P16;M;1.52;2;1;402;01-juil;10;9
1891;P16;M;1.762;0;10;182;01-juil;10;0
1892;P16;M;1.762;1;4;182;01-juil;10;6
1893;P16;M;1.762;2;0;182;01-juil;10;10
1894;P16;M;2.038;0;10;412;01-juil;10;0
1895;P16;M;2.038;1;0;412;01-juil;10;10
1896;P16;M;2.038;2;0;412;01-juil;10;10
1897;P16;M;3.016;0;10;342;01-juil;10;0
1898;P16;M;3.016;1;2;342;01-juil;10;8
1899;P16;M;3.016;2;0;342;01-juil;10;10
1900;P16;M;0;0;10;757;01-juil;10;0
1901;P16;M;0;1;10;757;01-juil;10;0
1902;P16;M;0;2;9;757;01-juil;10;1
1903;P16;M;0.993;0;10;826;01-juil;10;0
1904;P16;M;0.993;1;9;826;01-juil;10;1
1905;P16;M;0.993;2;5;826;01-juil;10;5
1906;P16;M;1.255;0;10;92;01-juil;10;0
1907;P16;M;1.255;1;7;92;01-juil;10;3
1908;P16;M;1.255;2;4;92;01-juil;10;6
1909;P16;M;1.52;0;10;194;01-juil;10;0
1910;P16;M;1.52;1;7;194;01-juil;10;3
1911;P16;M;1.52;2;1;194;01-juil;10;9
1912;P16;M;1.762;0;10;660;01-juil;10;0
1913;P16;M;1.762;1;6;660;01-juil;10;4
1914;P16;M;1.762;2;2;660;01-juil;10;8
1915;P16;M;2.038;0;10;147;01-juil;10;0
1916;P16;M;2.038;1;0;147;01-juil;10;10
1917;P16;M;2.038;2;0;147;01-juil;10;10
1918;P16;M;3.016;0;10;320;01-juil;10;0
1919;P16;M;3.016;1;4;320;01-juil;10;6
1920;P16;M;3.016;2;0;320;01-juil;10;10
1921;P16;M;0;0;10;420;07-juil;10;0
1922;P16;M;0;1;10;420;07-juil;10;0
1923;P16;M;0;2;10;420;07-juil;10;0
1924;P16;M;0.507;0;10;595;07-juil;10;0
1925;P16;M;0.507;1;10;595;07-juil;10;0
1926;P16;M;0.507;2;10;595;07-juil;10;0
1927;P16;M;0.507;0;10;127;07-juil;10;0
1928;P16;M;0.507;1;10;127;07-juil;10;0
1929;P16;M;0.507;2;10;127;07-juil;10;0
1930;P16;M;0.993;0;10;850;07-juil;10;0
1931;P16;M;0.993;1;9;850;07-juil;10;1
1932;P16;M;0.993;2;4;850;07-juil;10;6
1933;P16;M;1.255;0;10;707;07-juil;10;0
1934;P16;M;1.255;1;9;707;07-juil;10;1
1935;P16;M;1.255;2;2;707;07-juil;10;8
1936;P16;M;1.52;0;10;257;07-juil;10;0
1937;P16;M;1.52;1;7;257;07-juil;10;3
1938;P16;M;1.52;2;0;257;07-juil;10;10
1939;P16;M;1.762;0;10;339;07-juil;10;0
1940;P16;M;1.762;1;3;339;07-juil;10;7
1941;P16;M;1.762;2;0;339;07-juil;10;10
1942;P16;M;2.038;0;10;753;07-juil;10;0
1943;P16;M;2.038;1;0;753;07-juil;10;10
1944;P16;M;2.038;2;0;753;07-juil;10;10
1945;P16;M;3.016;0;10;809;07-juil;10;0
1946;P16;M;3.016;1;0;809;07-juil;10;10
1947;P16;M;3.016;2;0;809;07-juil;10;10
1948;P16;M;0;0;10;458;08-juil;10;0
1949;P16;M;0;1;9;458;08-juil;10;1
1950;P16;M;0;2;9;458;08-juil;10;1
1951;P16;M;0.507;0;10;587;08-juil;10;0
1952;P16;M;0.507;1;10;587;08-juil;10;0
1953;P16;M;0.507;2;10;587;08-juil;10;0
1954;P16;M;0.993;0;10;157;08-juil;10;0
1955;P16;M;0.993;1;8;157;08-juil;10;2
1956;P16;M;0.993;2;7;157;08-juil;10;3
1957;P16;M;1.255;0;10;848;08-juil;10;0
1958;P16;M;1.255;1;7;848;08-juil;10;3
1959;P16;M;1.255;2;5;848;08-juil;10;5
1960;P16;M;1.52;0;10;703;08-juil;10;0
1961;P16;M;1.52;1;5;703;08-juil;10;5
1962;P16;M;1.52;2;2;703;08-juil;10;8
1963;P16;M;1.762;0;10;173;08-juil;10;0
1964;P16;M;1.762;1;4;173;08-juil;10;6
1965;P16;M;1.762;2;0;173;08-juil;10;10
1966;P16;M;2.038;0;10;19;08-juil;10;0
1967;P16;M;2.038;1;5;19;08-juil;10;5
1968;P16;M;2.038;2;0;19;08-juil;10;10
1969;P16;M;3.016;0;10;751;08-juil;10;0
1970;P16;M;3.016;1;0;751;08-juil;10;10
1971;P16;M;3.016;2;0;751;08-juil;10;10
1972;P16;M;0;0;10;731;23-juil;10;0
1973;P16;M;0;1;10;731;23-juil;10;0
1974;P16;M;0;2;10;731;23-juil;10;0
1975;P16;M;0.507;0;10;734;23-juil;10;0
1976;P16;M;0.507;1;10;734;23-juil;10;0
1977;P16;M;0.507;2;10;734;23-juil;10;0
1978;P16;M;0;0;10;605;28-juil;10;0
1979;P16;M;0;1;10;605;28-juil;10;0
1980;P16;M;0;2;10;605;28-juil;10;0
1981;P16;M;4.996;0;10;50;28-juil;10;0
1982;P16;M;4.996;1;0;50;28-juil;10;10
1983;P16;M;4.996;2;0;50;28-juil;10;10
1984;P16;M;0;0;10;39;04-août;10;0
1985;P16;M;0;1;10;39;04-août;10;0
1986;P16;M;0;2;9;39;04-août;10;1
1987;P16;M;4.996;0;10;276;04-août;10;0
1988;P16;M;4.996;1;0;276;04-août;10;10
1989;P16;M;4.996;2;0;276;04-août;10;10
1990;P16;M;4.996;0;10;94;04-août;10;0
1991;P16;M;4.996;1;0;94;04-août;10;10
1992;P16;M;4.996;2;0;94;04-août;10;10
1993;P16;M;4.996;0;10;748;04-août;10;0
1994;P16;M;4.996;1;0;748;04-août;10;10
1995;P16;M;4.996;2;0;748;04-août;10;10
1996;P16;M;4.996;0;10;778;04-août;10;0
1997;P16;M;4.996;1;0;778;04-août;10;10
1998;P16;M;4.996;2;0;778;04-août;10;10
1999;P16;M;0;0;10;169;18-août;10;0
2000;P16;M;0;1;10;169;18-août;10;0
2001;P16;M;0;2;10;169;18-août;10;0
2002;P16;M;0.258;0;10;332;18-août;10;0
2003;P16;M;0.258;1;9;332;18-août;10;1
2004;P16;M;0.258;2;7;332;18-août;10;3
2005;P16;M;0.258;0;10;513;18-août;10;0
2006;P16;M;0.258;1;10;513;18-août;10;0
2007;P16;M;0.258;2;9;513;18-août;10;1
2008;P16;M;0.258;0;10;524;18-août;10;0
2009;P16;M;0.258;1;10;524;18-août;10;0
2010;P16;M;0.258;2;10;524;18-août;10;0
2011;P16;M;0.258;0;10;510;18-août;10;0
2012;P16;M;0.258;1;8;510;18-août;10;2
2013;P16;M;0.258;2;8;510;18-août;10;2
2014;P16;M;0.258;0;10;272;18-août;10;0
2015;P16;M;0.258;1;8;272;18-août;10;2
2016;P16;M;0.258;2;8;272;18-août;10;2
2017;RE0;M;0;0;10;477;26-févr;10;0
2018;RE0;M;0;1;10;477;26-févr;10;0
2019;RE0;M;0;2;10;477;26-févr;10;0
2020;RE0;M;0.993;0;10;852;26-févr;10;0
2021;RE0;M;0.993;1;9;852;26-févr;10;1
2022;RE0;M;0.993;2;5;852;26-févr;10;5
2023;RE0;M;1.255;0;10;801;26-févr;10;0
2024;RE0;M;1.255;1;6;801;26-févr;10;4
2025;RE0;M;1.255;2;5;801;26-févr;10;5
2026;RE0;M;1.52;0;10;261;26-févr;10;0
2027;RE0;M;1.52;1;8;261;26-févr;10;2
2028;RE0;M;1.52;2;6;261;26-févr;10;4
2029;RE0;M;1.762;0;10;269;26-févr;10;0
2030;RE0;M;1.762;1;10;269;26-févr;10;0
2031;RE0;M;1.762;2;9;269;26-févr;10;1
2032;RE0;M;2.038;0;10;712;26-févr;10;0
2033;RE0;M;2.038;1;10;712;26-févr;10;0
2034;RE0;M;2.038;2;4;712;26-févr;10;6
2035;RE0;M;3.016;0;10;538;26-févr;10;0
2036;RE0;M;3.016;1;4;538;26-févr;10;6
2037;RE0;M;3.016;2;0;538;26-févr;10;10
2038;RE0;M;0;0;10;792;26-févr;10;0
2039;RE0;M;0;1;10;792;26-févr;10;0
2040;RE0;M;0;2;9;792;26-févr;10;1
2041;RE0;M;0.993;0;10;381;26-févr;10;0
2042;RE0;M;0.993;1;9;381;26-févr;10;1
2043;RE0;M;0.993;2;7;381;26-févr;10;3
2044;RE0;M;1.255;0;10;839;26-févr;10;0
2045;RE0;M;1.255;1;6;839;26-févr;10;4
2046;RE0;M;1.255;2;5;839;26-févr;10;5
2047;RE0;M;1.52;0;10;551;26-févr;10;0
2048;RE0;M;1.52;1;4;551;26-févr;10;6
2049;RE0;M;1.52;2;3;551;26-févr;10;7
2050;RE0;M;1.762;0;10;118;26-févr;10;0
2051;RE0;M;1.762;1;6;118;26-févr;10;4
2052;RE0;M;1.762;2;4;118;26-févr;10;6
2053;RE0;M;2.038;0;10;700;26-févr;10;0
2054;RE0;M;2.038;1;7;700;26-févr;10;3
2055;RE0;M;2.038;2;2;700;26-févr;10;8
2056;RE0;M;3.016;0;10;268;26-févr;10;0
2057;RE0;M;3.016;1;4;268;26-févr;10;6
2058;RE0;M;3.016;2;0;268;26-févr;10;10
2059;RE0;M;0;0;10;355;03-mars;10;0
2060;RE0;M;0;1;10;355;03-mars;10;0
2061;RE0;M;0;2;9;355;03-mars;10;1
2062;RE0;M;0.993;0;10;408;03-mars;10;0
2063;RE0;M;0.993;1;7;408;03-mars;10;3
2064;RE0;M;0.993;2;4;408;03-mars;10;6
2065;RE0;M;1.255;0;10;493;03-mars;10;0
2066;RE0;M;1.255;1;2;493;03-mars;10;8
2067;RE0;M;1.255;2;0;493;03-mars;10;10
2068;RE0;M;1.52;0;10;347;03-mars;10;0
2069;RE0;M;1.52;1;4;347;03-mars;10;6
2070;RE0;M;1.52;2;1;347;03-mars;10;9
2071;RE0;M;1.762;0;10;849;03-mars;10;0
2072;RE0;M;1.762;1;4;849;03-mars;10;6
2073;RE0;M;1.762;2;0;849;03-mars;10;10
2074;RE0;M;2.038;0;10;810;03-mars;10;0
2075;RE0;M;2.038;1;3;810;03-mars;10;7
2076;RE0;M;2.038;2;0;810;03-mars;10;10
2077;RE0;M;3.016;0;10;567;03-mars;10;0
2078;RE0;M;3.016;1;0;567;03-mars;10;10
2079;RE0;M;3.016;2;0;567;03-mars;10;10
2080;RE0;M;0;0;10;55;03-mars;10;0
2081;RE0;M;0;1;10;55;03-mars;10;0
2082;RE0;M;0;2;10;55;03-mars;10;0
2083;RE0;M;0.993;0;10;845;03-mars;10;0
2084;RE0;M;0.993;1;8;845;03-mars;10;2
2085;RE0;M;0.993;2;8;845;03-mars;10;2
2086;RE0;M;1.255;0;10;396;03-mars;10;0
2087;RE0;M;1.255;1;8;396;03-mars;10;2
2088;RE0;M;1.255;2;3;396;03-mars;10;7
2089;RE0;M;1.52;0;10;721;03-mars;10;0
2090;RE0;M;1.52;1;2;721;03-mars;10;8
2091;RE0;M;1.52;2;0;721;03-mars;10;10
2092;RE0;M;1.762;0;10;165;03-mars;10;0
2093;RE0;M;1.762;1;0;165;03-mars;10;10
2094;RE0;M;1.762;2;0;165;03-mars;10;10
2095;RE0;M;2.038;0;10;379;03-mars;10;0
2096;RE0;M;2.038;1;1;379;03-mars;10;9
2097;RE0;M;2.038;2;0;379;03-mars;10;10
2098;RE0;M;3.016;0;10;295;03-mars;10;0
2099;RE0;M;3.016;1;0;295;03-mars;10;10
2100;RE0;M;3.016;2;0;295;03-mars;10;10
2101;RE0;M;0;0;10;351;03-mars;10;0
2102;RE0;M;0;1;10;351;03-mars;10;0
2103;RE0;M;0;2;10;351;03-mars;10;0
2104;RE0;M;0.993;0;10;121;03-mars;10;0
2105;RE0;M;0.993;1;8;121;03-mars;10;2
2106;RE0;M;0.993;2;5;121;03-mars;10;5
2107;RE0;M;1.255;0;10;647;03-mars;10;0
2108;RE0;M;1.255;1;5;647;03-mars;10;5
2109;RE0;M;1.255;2;1;647;03-mars;10;9
2110;RE0;M;1.52;0;10;374;03-mars;10;0
2111;RE0;M;1.52;1;0;374;03-mars;10;10
2112;RE0;M;1.52;2;0;374;03-mars;10;10
2113;RE0;M;1.762;0;10;190;03-mars;10;0
2114;RE0;M;1.762;1;0;190;03-mars;10;10
2115;RE0;M;1.762;2;0;190;03-mars;10;10
2116;RE0;M;2.038;0;10;136;03-mars;10;0
2117;RE0;M;2.038;1;0;136;03-mars;10;10
2118;RE0;M;2.038;2;0;136;03-mars;10;10
2119;RE0;M;3.016;0;10;57;03-mars;10;0
2120;RE0;M;3.016;1;0;57;03-mars;10;10
2121;RE0;M;3.016;2;0;57;03-mars;10;10
2122;RE0;M;0;0;20;419;10-mars;20;0
2123;RE0;M;0;1;20;419;10-mars;20;0
2124;RE0;M;0;2;20;419;10-mars;20;0
2125;RE0;M;0.993;0;10;816;10-mars;10;0
2126;RE0;M;0.993;1;9;816;10-mars;10;1
2127;RE0;M;0.993;2;9;816;10-mars;10;1
2128;RE0;M;1.255;0;10;175;10-mars;10;0
2129;RE0;M;1.255;1;8;175;10-mars;10;2
2130;RE0;M;1.255;2;7;175;10-mars;10;3
2131;RE0;M;1.52;0;10;323;10-mars;10;0
2132;RE0;M;1.52;1;1;323;10-mars;10;9
2133;RE0;M;1.52;2;1;323;10-mars;10;9
2134;RE0;M;1.762;0;10;808;10-mars;10;0
2135;RE0;M;1.762;1;1;808;10-mars;10;9
2136;RE0;M;1.762;2;0;808;10-mars;10;10
2137;RE0;M;2.038;0;10;392;10-mars;10;0
2138;RE0;M;2.038;1;3;392;10-mars;10;7
2139;RE0;M;2.038;2;0;392;10-mars;10;10
2140;RE0;M;3.016;0;10;457;10-mars;10;0
2141;RE0;M;3.016;1;0;457;10-mars;10;10
2142;RE0;M;3.016;2;0;457;10-mars;10;10
2143;RE0;M;0;0;20;298;10-mars;20;0
2144;RE0;M;0;1;20;298;10-mars;20;0
2145;RE0;M;0;2;20;298;10-mars;20;0
2146;RE0;M;0.993;0;10;129;10-mars;10;0
2147;RE0;M;0.993;1;9;129;10-mars;10;1
2148;RE0;M;0.993;2;9;129;10-mars;10;1
2149;RE0;M;1.255;0;10;95;10-mars;10;0
2150;RE0;M;1.255;1;4;95;10-mars;10;6
2151;RE0;M;1.255;2;3;95;10-mars;10;7
2152;RE0;M;1.52;0;10;209;10-mars;10;0
2153;RE0;M;1.52;1;0;209;10-mars;10;10
2154;RE0;M;1.52;2;0;209;10-mars;10;10
2155;RE0;M;1.762;0;10;234;10-mars;10;0
2156;RE0;M;1.762;1;4;234;10-mars;10;6
2157;RE0;M;1.762;2;0;234;10-mars;10;10
2158;RE0;M;2.038;0;10;854;10-mars;10;0
2159;RE0;M;2.038;1;0;854;10-mars;10;10
2160;RE0;M;2.038;2;0;854;10-mars;10;10
2161;RE0;M;3.016;0;10;259;10-mars;10;0
2162;RE0;M;3.016;1;0;259;10-mars;10;10
2163;RE0;M;3.016;2;0;259;10-mars;10;10
2164;RE0;M;0;0;20;822;10-mars;20;0
2165;RE0;M;0;1;20;822;10-mars;20;0
2166;RE0;M;0;2;20;822;10-mars;20;0
